config,freq_hz,sinc_dbfs,filt_dbfs,gain_db
hpf_lpf,376.465,-45.558,-153.451,-107.894
hpf_lpf,420.410,-47.244,-162.675,-115.431
hpf_lpf,470.215,-49.452,-160.024,-110.572
notch_lpf,3.906,-39.173,-38.396,0.777
notch_lpf,4.395,-39.173,-38.402,0.771
notch_lpf,4.883,-39.173,-38.410,0.763
notch_lpf,5.371,-39.173,-38.416,0.757
notch_lpf,5.859,-39.174,-38.426,0.748
notch_lpf,6.836,-39.174,-38.443,0.731
notch_lpf,7.812,-39.175,-38.465,0.709
notch_lpf,8.301,-39.175,-38.476,0.699
notch_lpf,9.766,-39.176,-38.516,0.661
notch_lpf,10.742,-39.177,-38.547,0.630
notch_lpf,11.719,-39.178,-38.577,0.601
notch_lpf,13.184,-39.180,-38.629,0.550
notch_lpf,14.648,-39.181,-38.687,0.495
notch_lpf,16.602,-39.184,-38.771,0.413
notch_lpf,18.555,-39.187,-38.860,0.327
notch_lpf,20.996,-39.191,-38.983,0.208
notch_lpf,23.438,-39.196,-39.109,0.087
notch_lpf,25.879,-39.201,-39.242,-0.041
notch_lpf,28.809,-39.208,-39.407,-0.199
notch_lpf,32.227,-39.217,-39.587,-0.370
notch_lpf,36.133,-39.228,-39.778,-0.550
notch_lpf,40.527,-39.243,-39.963,-0.720
notch_lpf,45.410,-39.261,-40.151,-0.890
notch_lpf,50.781,-39.283,-98.045,-58.762
notch_lpf,56.641,-39.310,-40.112,-0.802
notch_lpf,63.477,-39.345,-39.914,-0.569
notch_lpf,70.801,-39.387,-39.591,-0.204
notch_lpf,79.102,-39.441,-39.201,0.240
notch_lpf,88.379,-39.508,-38.868,0.640
notch_lpf,98.633,-39.590,-38.792,0.799
notch_lpf,110.352,-39.696,-39.229,0.467
notch_lpf,123.535,-39.830,-40.526,-0.696
notch_lpf,138.184,-39.996,-43.077,-3.082
notch_lpf,154.297,-40.201,-47.364,-7.163
notch_lpf,172.363,-40.458,-54.246,-13.788
notch_lpf,192.871,-40.786,-65.269,-24.483
notch_lpf,215.820,-41.200,-83.244,-42.044
notch_lpf,241.211,-41.715,-119.318,-77.602
notch_lpf,269.531,-42.364,-128.109,-85.746
notch_lpf,301.270,-43.186,-127.652,-84.466
notch_lpf,336.426,-44.218,-128.119,-83.901
notch_lpf,376.465,-45.558,-127.952,-82.394
notch_lpf,420.410,-47.244,-128.811,-81.567
notch_lpf,470.215,-49.452,-129.032,-79.579
all,3.906,-39.173,-59.749,-20.576
all,4.395,-39.173,-58.740,-19.567
all,4.883,-39.173,-57.841,-18.668
all,5.371,-39.173,-57.030,-17.856
all,5.859,-39.174,-56.294,-17.120
all,6.836,-39.174,-54.998,-15.824
all,7.812,-39.175,-53.889,-14.714
all,8.301,-39.175,-53.390,-14.215
all,9.766,-39.176,-52.070,-12.894
all,10.742,-39.177,-51.313,-12.136
all,11.719,-39.178,-50.629,-11.451
all,13.184,-39.180,-49.730,-10.550
all,14.648,-39.181,-48.950,-9.768
all,16.602,-39.184,-48.060,-8.876
all,18.555,-39.187,-47.306,-8.119
all,20.996,-39.191,-46.525,-7.334
all,23.438,-39.196,-45.877,-6.681
all,25.879,-39.201,-45.342,-6.141
all,28.809,-39.208,-44.820,-5.613
all,32.227,-39.217,-44.326,-5.109
all,36.133,-39.228,-43.878,-4.650
all,40.527,-39.243,-43.475,-4.233
all,45.410,-39.261,-43.138,-3.878
all,50.781,-39.283,-100.954,-61.671
all,56.641,-39.310,-42.236,-2.926
all,63.477,-39.345,-41.674,-2.329
all,70.801,-39.387,-41.049,-1.662
all,79.102,-39.441,-40.396,-0.955
all,88.379,-39.508,-39.841,-0.334
all,98.633,-39.590,-39.580,0.010
all,110.352,-39.696,-39.861,-0.165
all,123.535,-39.830,-41.025,-1.196
all,138.184,-39.996,-43.472,-3.476
all,154.297,-40.201,-47.673,-7.472
all,172.363,-40.458,-54.487,-14.029
all,192.871,-40.786,-65.455,-24.669
all,215.820,-41.200,-83.450,-42.250
all,241.211,-41.715,-116.065,-74.350
all,269.531,-42.364,-127.805,-85.441
all,301.270,-43.186,-127.923,-84.737
all,336.426,-44.218,-130.785,-86.568
all,376.465,-45.558,-130.162,-84.604
all,420.410,-47.244,-130.219,-82.974
all,470.215,-49.452,-130.488,-81.036
